name	class
LORAZEPAM INJ	BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS
LORAZEPAM ORAL	BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS
MIDAZOLAM HCL	BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS
TEMAZEPAM	BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS
BUSPIRONE HCL	SEDATIVES/HYPNOTICS,OTHER
DEXMEDETOMIDINE	SEDATIVES/HYPNOTICS,OTHER
ZOLPIDEM	SEDATIVES/HYPNOTICS,OTHER
CARBAMAZEPINE	ANTICONVULSANTS
CARBAMAZEPINE	ANTICONVULSANTS
CARBAMAZEPINE	ANTICONVULSANTS
CLONAZEPAM	ANTICONVULSANTS
DIVALPROEX NA	ANTICONVULSANTS
FELBAMATE	ANTICONVULSANTS
FELBAMATE	ANTICONVULSANTS
FOSPHENYTOIN NA	ANTICONVULSANTS
GABAPENTIN	ANTICONVULSANTS
GABAPENTIN	ANTICONVULSANTS
GABAPENTIN	ANTICONVULSANTS
LAMOTRIGINE	ANTICONVULSANTS
LEVETIRACETAM	ANTICONVULSANTS
LEVETIRACETAM	ANTICONVULSANTS
OXCARBAZEPINE	ANTICONVULSANTS
PHENYTOIN	ANTICONVULSANTS
PHENYTOIN	ANTICONVULSANTS
PHENYTOIN (MYLAN)	ANTICONVULSANTS
PHENYTOIN NA	ANTICONVULSANTS
PRIMIDONE	ANTICONVULSANTS
TOPIRAMATE	ANTICONVULSANTS
VALPROIC ACID	ANTICONVULSANTS
VALPROIC ACID	ANTICONVULSANTS
ZONISAMIDE	ANTICONVULSANTS
APOMORPHINE	ANTIPARKINSON AGENTS
CARBIDOPA /LEVODOPA	ANTIPARKINSON AGENTS
CARBIDOPA/LEVODOPA	ANTIPARKINSON AGENTS
ENTACAPONE	ANTIPARKINSON AGENTS
RASAGILINE	ANTIPARKINSON AGENTS
ROPINIROLE	ANTIPARKINSON AGENTS
SELEGILINE HCL	ANTIPARKINSON AGENTS
MECLIZINE HCL (OTC)	ANTIVERTIGO AGENTS
AMITRIPTYLINE HCL	TRICYCLIC ANTIDEPRESSANTS
CLOMIPRAMINE	TRICYCLIC ANTIDEPRESSANTS
DESIPRAMINE HCL	TRICYCLIC ANTIDEPRESSANTS
DOXEPIN HCL	TRICYCLIC ANTIDEPRESSANTS
DOXEPIN HCL	TRICYCLIC ANTIDEPRESSANTS
IMIPRAMINE HCL	TRICYCLIC ANTIDEPRESSANTS
NORTRIPTYLINE	TRICYCLIC ANTIDEPRESSANTS
NORTRIPTYLINE	TRICYCLIC ANTIDEPRESSANTS
PHENELZINE SULFATE	MONAMINE OXIDASE INHIBITOR ANTIDEPRESSANTS
SELEGILINE	MONAMINE OXIDASE INHIBITOR ANTIDEPRESSANTS
TRANYLCYPROMINE SULFATE	MONAMINE OXIDASE INHIBITOR ANTIDEPRESSANTS
BUPROPION HCL	ANTIDEPRESSANTS,OTHER
BUPROPION HCL	ANTIDEPRESSANTS,OTHER
CITALOPRAM HYDROBROMIDE	ANTIDEPRESSANTS,OTHER
CITALOPRAM HYDROBROMIDE	ANTIDEPRESSANTS,OTHER
DULOXETINE	ANTIDEPRESSANTS,OTHER
ESCITALOPRAM	ANTIDEPRESSANTS,OTHER
FLUOXETINE	ANTIDEPRESSANTS,OTHER
FLUOXETINE	ANTIDEPRESSANTS,OTHER
FLUOXETINE	ANTIDEPRESSANTS,OTHER
MIRTAZAPINE	ANTIDEPRESSANTS,OTHER
PAROXETINE	ANTIDEPRESSANTS,OTHER
SERTRALINE	ANTIDEPRESSANTS,OTHER
SERTRALINE	ANTIDEPRESSANTS,OTHER
TRAZODONE	ANTIDEPRESSANTS,OTHER
VENLAFAXINE (ER)	ANTIDEPRESSANTS,OTHER
VENLAFAXINE (IR)	ANTIDEPRESSANTS,OTHER
CHLORPROMAZINE	PHENOTHIAZINE/RELATED ANTIPSYCHOTICS
CHLORPROMAZINE	PHENOTHIAZINE/RELATED ANTIPSYCHOTICS
CHLORPROMAZINE	PHENOTHIAZINE/RELATED ANTIPSYCHOTICS
FLUPHENAZINE	PHENOTHIAZINE/RELATED ANTIPSYCHOTICS
FLUPHENAZINE	PHENOTHIAZINE/RELATED ANTIPSYCHOTICS
FLUPHENAZINE	PHENOTHIAZINE/RELATED ANTIPSYCHOTICS
FLUPHENAZINE DECONATE	PHENOTHIAZINE/RELATED ANTIPSYCHOTICS
PERPHENAZINE	PHENOTHIAZINE/RELATED ANTIPSYCHOTICS
THIOTHIXENE	PHENOTHIAZINE/RELATED ANTIPSYCHOTICS
TRIFLUOPERAZINE	PHENOTHIAZINE/RELATED ANTIPSYCHOTICS
ARIPIPRAZOLE	ANTIPSYCHOTICS,OTHER
ARIPIPRAZOLE	ANTIPSYCHOTICS,OTHER
ARIPIPRAZOLE	ANTIPSYCHOTICS,OTHER
CLOZAPINE	ANTIPSYCHOTICS,OTHER
HALOPERIDOL	ANTIPSYCHOTICS,OTHER
HALOPERIDOL	ANTIPSYCHOTICS,OTHER
HALOPERIDOL	ANTIPSYCHOTICS,OTHER
HALOPERIDOL DECANOATE	ANTIPSYCHOTICS,OTHER
LOXAPINE	ANTIPSYCHOTICS,OTHER
LURASIDONE	ANTIPSYCHOTICS,OTHER
MOLINDONE HCL	ANTIPSYCHOTICS,OTHER
OLANZAPINE	ANTIPSYCHOTICS,OTHER
OLANZAPINE	ANTIPSYCHOTICS,OTHER
PALIPERIDONE	ANTIPSYCHOTICS,OTHER
QUETIAPINE FUMARATE	ANTIPSYCHOTICS,OTHER
RISPERIDONE	ANTIPSYCHOTICS,OTHER
RISPERIDONE	ANTIPSYCHOTICS,OTHER
RISPERIDONE	ANTIPSYCHOTICS,OTHER
ZIPRASIDONE	ANTIPSYCHOTICS,OTHER
LITHIUM	LITHIUM SALTS
LITHIUM	LITHIUM SALTS
LITHIUM	LITHIUM SALTS
LITHIUM	LITHIUM SALTS
AMPHETAMINE/DEXTROAMPHETAMINE (EQV-ADDERALL)	AMPHETAMINES
AMPHETAMINE/DEXTROAMPHETAMINE RESIN COMPLEX (EQV-ADDERALL XR)	AMPHETAMINES
DEXTROAMPHETAMINE	AMPHETAMINES
DEXTROAMPHETAMINE	AMPHETAMINES
DEXTROAMPHETAMINE	AMPHETAMINES
DEXTROAMPHETAMINE	AMPHETAMINES
METHYLPHENIDATE	AMPHETAMINE LIKE STIMULANTS
METHYLPHENIDATE	AMPHETAMINE LIKE STIMULANTS
METHYLPHENIDATE	AMPHETAMINE LIKE STIMULANTS
CAFFEINE/SODIUM BENZOATE	CNS STIMULANTS,OTHER
DONEPEZIL (5MG AND 10MG ONLY)	CNS MEDICATIONS,OTHER
ERGOLOID MESYLATES	CNS MEDICATIONS,OTHER
GALANTAMINE	CNS MEDICATIONS,OTHER
GALANTAMINE	CNS MEDICATIONS,OTHER
MEMANTINE HCL	CNS MEDICATIONS,OTHER
PIMOZIDE	CNS MEDICATIONS,OTHER
RILUZOLE	CNS MEDICATIONS,OTHER
DIGOXIN	DIGITALIS GLYCOSIDES
DIGOXIN	DIGITALIS GLYCOSIDES
DIGOXIN	DIGITALIS GLYCOSIDES
ATENOLOL	BETA BLOCKERS/RELATED
BISOPROLOL	BETA BLOCKERS/RELATED
CARVEDILOL	BETA BLOCKERS/RELATED
ESMOLOL HCL	BETA BLOCKERS/RELATED
LABETALOL HCL	BETA BLOCKERS/RELATED
METOPROLOL  TARTRATE	BETA BLOCKERS/RELATED
METOPROLOL  TARTRATE	BETA BLOCKERS/RELATED
METOPROLOL SUCCINATE SUSTAINED ACTION	BETA BLOCKERS/RELATED
PROPRANOLOL HCL	BETA BLOCKERS/RELATED
PROPRANOLOL HCL	BETA BLOCKERS/RELATED
SOTALOL HCL	BETA BLOCKERS/RELATED
ALFUZOSIN	ALPHA BLOCKERS/RELATED
DOXAZOSIN MESYLATE	ALPHA BLOCKERS/RELATED
PRAZOSIN HCL	ALPHA BLOCKERS/RELATED
TAMSULOSIN	ALPHA BLOCKERS/RELATED
TERAZOSIN HCL	ALPHA BLOCKERS/RELATED
AMLODIPINE	CALCIUM CHANNEL BLOCKERS
DILTIAZEM HCL	CALCIUM CHANNEL BLOCKERS
DILTIAZEM HCL	CALCIUM CHANNEL BLOCKERS
DILTIAZEM HCL	CALCIUM CHANNEL BLOCKERS
FELODIPINE	CALCIUM CHANNEL BLOCKERS
NICARDIPINE	CALCIUM CHANNEL BLOCKERS
NIFEDIPINE	CALCIUM CHANNEL BLOCKERS
VERAPAMIL HCL	CALCIUM CHANNEL BLOCKERS
VERAPAMIL HCL	CALCIUM CHANNEL BLOCKERS
VERAPAMIL HCL	CALCIUM CHANNEL BLOCKERS
AMYL NITRITE	ANTIANGINALS
ISOSORBIDE DINITRATE	ANTIANGINALS
ISOSORBIDE DINITRATE	ANTIANGINALS
ISOSORBIDE MONONITRATE	ANTIANGINALS
NITROGLYCERIN	ANTIANGINALS
NITROGLYCERIN	ANTIANGINALS
NITROGLYCERIN	ANTIANGINALS
NITROGLYCERIN	ANTIANGINALS
ADENOSINE	ANTIARRHYTHMICS
AMIODARONE	ANTIARRHYTHMICS
AMIODARONE	ANTIARRHYTHMICS
FLECAINIDE	ANTIARRHYTHMICS
IBUTILIDE	ANTIARRHYTHMICS
PROCAINAMIDE	ANTIARRHYTHMICS
PROPAFENONE	ANTIARRHYTHMICS
QUINIDINE	ANTIARRHYTHMICS
QUINIDINE	ANTIARRHYTHMICS
ATORVASTATIN	ANTILIPEMIC AGENTS
CHOLESTYRAMINE	ANTILIPEMIC AGENTS
COLESTIPOL	ANTILIPEMIC AGENTS
COLESTIPOL	ANTILIPEMIC AGENTS
GEMFIBROZIL	ANTILIPEMIC AGENTS
LOMITAPIDE	ANTILIPEMIC AGENTS
LOVASTATIN	ANTILIPEMIC AGENTS
MIPOMERSEN	ANTILIPEMIC AGENTS
PRAVASTATIN	ANTILIPEMIC AGENTS
SIMVASTATIN	ANTILIPEMIC AGENTS
AMLODIPINE/BENAZEPRIL	ANTIHYPERTENSIVE COMBINATIONS
ATENOLOL/CHLORTHALIDONE	ANTIHYPERTENSIVE COMBINATIONS
HYDROCHLOROTHIAZIDE/LISINOPRIL	ANTIHYPERTENSIVE COMBINATIONS
CLONIDINE	ANTIHYPERTENSIVES,OTHER
CLONIDINE HCL	ANTIHYPERTENSIVES,OTHER
HYDRALAZINE HCL	ANTIHYPERTENSIVES,OTHER
HYDRALAZINE HCL	ANTIHYPERTENSIVES,OTHER
METHYLDOPA	ANTIHYPERTENSIVES,OTHER
METHYLDOPATE HCL	ANTIHYPERTENSIVES,OTHER
MINOXIDIL	ANTIHYPERTENSIVES,OTHER
RESERPINE	ANTIHYPERTENSIVES,OTHER
SODIUM NITROPRUSSIDE	ANTIHYPERTENSIVES,OTHER
ETHANOLAMINE OLEATE	SCLEROSING AGENTS
MORRHUATE	SCLEROSING AGENTS
MORRHUATE SODIUM	SCLEROSING AGENTS
CHLORTHALIDONE	THIAZIDES/RELATED DIURETICS
HYDROCHLOROTHIAZIDE	THIAZIDES/RELATED DIURETICS
HYDROCHLOROTHIAZIDE	THIAZIDES/RELATED DIURETICS
INDAPAMIDE	THIAZIDES/RELATED DIURETICS
METOLAZONE	THIAZIDES/RELATED DIURETICS
BUMETANIDE	LOOP DIURETICS
BUMETANIDE	LOOP DIURETICS
ETHACRYNATE NA	LOOP DIURETICS
ETHACRYNIC ACID	LOOP DIURETICS
FUROSEMIDE	LOOP DIURETICS
FUROSEMIDE	LOOP DIURETICS
FUROSEMIDE	LOOP DIURETICS
ACETAZOLAMIDE	CARBONIC ANHYDRASE INHIBITOR DIURETICS
ACETAZOLAMIDE	CARBONIC ANHYDRASE INHIBITOR DIURETICS
METHAZOLAMIDE	CARBONIC ANHYDRASE INHIBITOR DIURETICS
HYDROCHLOROTHIAZIDE/SPIRONOLACTONE	POTASSIUM SPARING/COMBINATIONS DIURETICS
HYDROCHLOROTHIAZIDE/TRIAMTERENE	POTASSIUM SPARING/COMBINATIONS DIURETICS
HYDROCHLOROTHIAZIDE/TRIAMTERENE	POTASSIUM SPARING/COMBINATIONS DIURETICS
SPIRONOLACTONE	POTASSIUM SPARING/COMBINATIONS DIURETICS
TRIAMTERENE	POTASSIUM SPARING/COMBINATIONS DIURETICS
MANNITOL	DIURETICS,OTHER
BENAZEPRIL	ACE INHIBITORS
CAPTOPRIL	ACE INHIBITORS
ENALAPRIL	ACE INHIBITORS
ENALAPRILAT	ACE INHIBITORS
FOSINOPRIL	ACE INHIBITORS
LISINOPRIL	ACE INHIBITORS
RAMIPRIL	ACE INHIBITORS
LOSARTAN	ANGIOTENSIN II INHIBITOR
VALSARTAN	ANGIOTENSIN II INHIBITOR
INAMRINONE	CARDIOVASCULAR AGENTS,OTHER
MIDODRINE	CARDIOVASCULAR AGENTS,OTHER
MILRINONE	CARDIOVASCULAR AGENTS,OTHER
REGADENOSON	CARDIOVASCULAR AGENTS,OTHER
ALCOHOL ISOPROPYL 70%	ANTIBACTERIAL,TOPICAL
BACITRACIN  (OTC)	ANTIBACTERIAL,TOPICAL
CADEXOMER IODINE	ANTIBACTERIAL,TOPICAL
CHLORHEXIDINE GLUCONATE  (OTC)	ANTIBACTERIAL,TOPICAL
CHLORHEXIDINE GLUCONATE (OTC)	ANTIBACTERIAL,TOPICAL
GENTAMICIN SO4	ANTIBACTERIAL,TOPICAL
HYDROGEN PEROXIDE  (OTC)	ANTIBACTERIAL,TOPICAL
METRONIDAZOLE	ANTIBACTERIAL,TOPICAL
MUPIROCIN	ANTIBACTERIAL,TOPICAL
POVIDONE IODINE	ANTIBACTERIAL,TOPICAL
POVIDONE IODINE  (OTC)	ANTIBACTERIAL,TOPICAL
POVIDONE IODINE (OTC)	ANTIBACTERIAL,TOPICAL
POVIDONE IODINE (OTC)	ANTIBACTERIAL,TOPICAL
SILVER SULFADIAZINE	ANTIBACTERIAL,TOPICAL
SODIUM HYPOCHLORITE  (OTC)	ANTIBACTERIAL,TOPICAL
CASTELLANI PAINT (OTC)	ANTIFUNGAL,TOPICAL
CLOTRIMAZOLE 1%	ANTIFUNGAL,TOPICAL
CLOTRIMAZOLE 1%	ANTIFUNGAL,TOPICAL
CLOTRIMAZOLE 1%	ANTIFUNGAL,TOPICAL
KETOCONAZOLE	ANTIFUNGAL,TOPICAL
KETOCONAZOLE 2%	ANTIFUNGAL,TOPICAL
MICONAZOLE	ANTIFUNGAL,TOPICAL
MICONAZOLE NITRATE 2%	ANTIFUNGAL,TOPICAL
MICONAZOLE NITRATE 2%	ANTIFUNGAL,TOPICAL
NYSTATIN	ANTIFUNGAL,TOPICAL
NYSTATIN  100000UNT/GM	ANTIFUNGAL,TOPICAL
TERBINAFINE HCL 1%	ANTIFUNGAL,TOPICAL
TOLNAFTATE	ANTIFUNGAL,TOPICAL
BACITRACIN 500/POLYMYXIN 10000U/GM  (OTC)	ANTI-INFECTIVE,TOPICAL,OTHER
BACITRACIN 500/POLYMYXIN 10000U/GM  (OTC)	ANTI-INFECTIVE,TOPICAL,OTHER
GENTIAN VIOLET 1%  (OTC)	ANTI-INFECTIVE,TOPICAL,OTHER
GENTIAN VIOLET 2%  (OTC)	ANTI-INFECTIVE,TOPICAL,OTHER
BETAMETHASONE DIPROPIONATE	ANTI-INFLAMMATORY,TOPICAL
BETAMETHASONE DIPROPIONATE	ANTI-INFLAMMATORY,TOPICAL
BETAMETHASONE VALERATE	ANTI-INFLAMMATORY,TOPICAL
BETAMETHASONE VALERATE	ANTI-INFLAMMATORY,TOPICAL
BETAMETHASONE VALERATE	ANTI-INFLAMMATORY,TOPICAL
CLOBETASOL	ANTI-INFLAMMATORY,TOPICAL
CLOBETASOL	ANTI-INFLAMMATORY,TOPICAL
CLOBETASOL	ANTI-INFLAMMATORY,TOPICAL
DESONIDE	ANTI-INFLAMMATORY,TOPICAL
FLUOCINOLONE ACETONIDE 0.01%	ANTI-INFLAMMATORY,TOPICAL
FLUOCINONIDE	ANTI-INFLAMMATORY,TOPICAL
FLUOCINONIDE	ANTI-INFLAMMATORY,TOPICAL
FLUOCINONIDE	ANTI-INFLAMMATORY,TOPICAL
FLURANDRENOLIDE 4MCG/SQCM	ANTI-INFLAMMATORY,TOPICAL
HYDROCORTISONE	ANTI-INFLAMMATORY,TOPICAL
HYDROCORTISONE (PLAIN OR ACETATE)	ANTI-INFLAMMATORY,TOPICAL
HYDROCORTISONE (PLAIN OR ACETATE)	ANTI-INFLAMMATORY,TOPICAL
HYDROCORTISONE (PLAIN OR ACETATE)	ANTI-INFLAMMATORY,TOPICAL
TRIAMCINOLONE	ANTI-INFLAMMATORY,TOPICAL
TRIAMCINOLONE	ANTI-INFLAMMATORY,TOPICAL
SUNSCREEN SPF 30-50/AVOBENZONE/PABA-FREE COMBINATION	SUN PROTECTANTS/SCREENS,TOPICAL
SUNSCREEN SPF 30-50/AVOBENZONE/PABA-FREE COMBINATION	SUN PROTECTANTS/SCREENS,TOPICAL
SUNSCREEN SPF 30-50/AVOBENZONE/PABA-FREE COMBINATION	SUN PROTECTANTS/SCREENS,TOPICAL
SUNSCREEN SPF 30-50/AVOBENZONE/PABA-FREE COMBINATION	SUN PROTECTANTS/SCREENS,TOPICAL
SUNSCREEN SPF 30-50/PHYSICAL BLOCK/PABA-FREE COMBINATION	SUN PROTECTANTS/SCREENS,TOPICAL
SUNSCREEN SPF 30-50/PHYSICAL BLOCK/PABA-FREE COMBINATION (FACIAL)	SUN PROTECTANTS/SCREENS,TOPICAL
AMMONIUM LACTATE	EMOLLIENTS
AMMONIUM LACTATE	EMOLLIENTS
BATH OIL  (OTC)	EMOLLIENTS
HYDROPHILIC	EMOLLIENTS
LANOLIN	EMOLLIENTS
LANOLIN HYDROUS (OTC)	EMOLLIENTS
MINERAL OIL/MINERAL WAX/PETROLATUM/WOOL WAX ALCOHOL (OTC)	EMOLLIENTS
MINERAL OIL/MINERAL WAX/PETROLATUM/WOOL WAX ALCOHOL(OTC)	EMOLLIENTS
MOISTURIZING (OTC)	EMOLLIENTS
PETROLATUM(OTC)	EMOLLIENTS
UREA	EMOLLIENTS
UREA	EMOLLIENTS
POVIDONE IODINE 10% (OTC)	SOAPS/SHAMPOOS/SOAP-FREE CLEANSERS
SELENIUM	SOAPS/SHAMPOOS/SOAP-FREE CLEANSERS
SELENIUM	SOAPS/SHAMPOOS/SOAP-FREE CLEANSERS
ZINC PYRITHIONE 1% (OTC)	SOAPS/SHAMPOOS/SOAP-FREE CLEANSERS
ALUMINUM CHLORIDE (HEXAHYDRATE)	DEODORANTS/ANTIPERSPIRANTS,TOPICAL
LACTIC ACID 16.7%/SAL AC 16.7%/COLLODION (OTC)	KERATOLYTICS/CAUSTICS,TOPICAL
PODOFILOX 0.5%	KERATOLYTICS/CAUSTICS,TOPICAL
SALICYLIC ACID	KERATOLYTICS/CAUSTICS,TOPICAL
SALICYLIC ACID	KERATOLYTICS/CAUSTICS,TOPICAL
SALICYLIC ACID	KERATOLYTICS/CAUSTICS,TOPICAL
SALICYLIC ACID	KERATOLYTICS/CAUSTICS,TOPICAL
SALICYLIC ACID/SULFUR	KERATOLYTICS/CAUSTICS,TOPICAL
SILVER NITRATE	KERATOLYTICS/CAUSTICS,TOPICAL
SULFACETAMIDE NA 10%/SULFUR 5%	KERATOLYTICS/CAUSTICS,TOPICAL
TRICHLOROACETIC ACID 80%	KERATOLYTICS/CAUSTICS,TOPICAL
FLUOROURACIL	ANTINEOPLASTIC,TOPICAL
FLUOROURACIL	ANTINEOPLASTIC,TOPICAL
CAPSAICIN	ANALGESICS,TOPICAL
MENTHOL/METHYL SALICYLATE 10-15% (LOW CONC)	ANALGESICS,TOPICAL
MENTHOL/METHYL SALICYLATE 16-30% (HIGH CONC)	ANALGESICS,TOPICAL
DIBUCAINE 1%   (OTC)	LOCAL ANESTHETICS,TOPICAL
ETHYL CHLORIDE 100%	LOCAL ANESTHETICS,TOPICAL
LIDOCAINE 2.5%/PRILOCAINE 2.5%	LOCAL ANESTHETICS,TOPICAL
LIDOCAINE 5%	LOCAL ANESTHETICS,TOPICAL
LIDOCAINE HCL 2%	LOCAL ANESTHETICS,TOPICAL
LIDOCAINE HCL 4%	LOCAL ANESTHETICS,TOPICAL
LIDOCAINE HCL 5%	LOCAL ANESTHETICS,TOPICAL
PENTAFLUOROPROPANE/TETRAFLUOROETHANE	LOCAL ANESTHETICS,TOPICAL
PRAMOXINE HCL 1%  (OTC)	LOCAL ANESTHETICS,TOPICAL
PRAMOXINE HCL 1%  (OTC)	LOCAL ANESTHETICS,TOPICAL
ISOTRETINOIN ORAL	ANTIACNE AGENTS,SYSTEMIC
BENZOYL PEROXIDE	ANTIACNE AGENTS,TOPICAL
BENZOYL PEROXIDE	ANTIACNE AGENTS,TOPICAL
BENZOYL PEROXIDE 5%/ERYTHROMYCIN 3% TOP GEL	ANTIACNE AGENTS,TOPICAL
CLINDAMYCIN PHOSPHATE	ANTIACNE AGENTS,TOPICAL
CLINDAMYCIN PHOSPHATE	ANTIACNE AGENTS,TOPICAL
ERYTHROMYCIN 2% TOP GEL	ANTIACNE AGENTS,TOPICAL
ERYTHROMYCIN 2% TOP SOLN	ANTIACNE AGENTS,TOPICAL
METRONIDAZOLE	ANTIACNE AGENTS,TOPICAL
TRETINOIN	ANTIACNE AGENTS,TOPICAL
TRETINOIN	ANTIACNE AGENTS,TOPICAL
ACITRETIN	ANTIPSORIATICS,SYSTEMIC
METHOXSALEN	ANTIPSORIATICS,SYSTEMIC
ANTHRALIN	ANTIPSORIATICS,TOPICAL
CALCIPOTRIENE 0.005%	ANTIPSORIATICS,TOPICAL
CALCITRIOL	ANTIPSORIATICS,TOPICAL
COAL TAR	ANTIPSORIATICS,TOPICAL
COAL TAR	ANTIPSORIATICS,TOPICAL
COAL TAR	ANTIPSORIATICS,TOPICAL
COAL TAR	ANTIPSORIATICS,TOPICAL
COAL TAR	ANTIPSORIATICS,TOPICAL
COAL TAR	ANTIPSORIATICS,TOPICAL
COAL TAR	ANTIPSORIATICS,TOPICAL
COAL TAR	ANTIPSORIATICS,TOPICAL
COAL TAR /SALICYLIC ACID	ANTIPSORIATICS,TOPICAL
COAL TAR/SALICYLIC ACID/SULFUR	ANTIPSORIATICS,TOPICAL
ALUMINUM SULFATE/CALCIUM ACETATE  (OTC)	DERMATOLOGICALS,TOPICAL OTHER
BENZOIN COMPOUND 30%/ISOPROPYL ALCOHOL 44.8% SPRAY (OTC)	DERMATOLOGICALS,TOPICAL OTHER
CALAMINE  (OTC)	DERMATOLOGICALS,TOPICAL OTHER
CAMPHOR 0.5%/MENTHOL 0.5%	DERMATOLOGICALS,TOPICAL OTHER
CARRAKLENZ SKIN & WOUND CLEANSER (OTC)	DERMATOLOGICALS,TOPICAL OTHER
CARRINGTON (OTC)	DERMATOLOGICALS,TOPICAL OTHER
CARRINGTON DRESSING  (OTC)	DERMATOLOGICALS,TOPICAL OTHER
COLLAGENASE	DERMATOLOGICALS,TOPICAL OTHER
GLYCOLIC ACID 12%  (OTC)	DERMATOLOGICALS,TOPICAL OTHER
HAMAMELIS WATER 50% (OTC)	DERMATOLOGICALS,TOPICAL OTHER
HYDROQUINONE 4%	DERMATOLOGICALS,TOPICAL OTHER
LUBRICATING (OTC)	DERMATOLOGICALS,TOPICAL OTHER
METHOXSALEN	DERMATOLOGICALS,TOPICAL OTHER
MINERAL OIL,LIGHT (OTC)	DERMATOLOGICALS,TOPICAL OTHER
OATMEAL,COLLOIDAL	DERMATOLOGICALS,TOPICAL OTHER
PERINEAL WASH (OTC)	DERMATOLOGICALS,TOPICAL OTHER
TALC TOP(OTC)	DERMATOLOGICALS,TOPICAL OTHER
ZINC OXIDE (OTC)	DERMATOLOGICALS,TOPICAL OTHER
ZINC OXIDE (OTC)	DERMATOLOGICALS,TOPICAL OTHER
CONTRAST  MEDIA: X-RAY	NON-IONIC CONTRAST MEDIA
INDOCYANINE GREEN	NON-IONIC CONTRAST MEDIA
IOTHALAMATE	IONIC CONTRAST MEDIA
BENZYLPENICILLOYL POLYLYSINE	DIAGNOSTIC ANTIGENS
CANDIDA 1:100 SKIN TEST	DIAGNOSTIC ANTIGENS
COCCIDIODIN 1:100 SKIN TEST	DIAGNOSTIC ANTIGENS
HISTOPLASMIN 1:100 SKIN TEST	DIAGNOSTIC ANTIGENS
MUMPS SKIN TEST (MSTA) ANTIGEN	DIAGNOSTIC ANTIGENS
TUBERBULIN,PURIFIED PROTEIN DERIVATIVE	DIAGNOSTIC ANTIGENS
BLOOD GLUCOSE MONITORING	DIAGNOSTICS,OTHER
BLOOD GLUCOSE MONITORING	DIAGNOSTICS,OTHER
BLOOD GLUCOSE MONITORING	DIAGNOSTICS,OTHER
CONTRAST  MEDIA:  ULTRASOUND	DIAGNOSTICS,OTHER
CONTRAST  MEDIA: MAGNETIC RESONANCE	DIAGNOSTICS,OTHER
COSYNTROPIN INJ	DIAGNOSTICS,OTHER
KETODIASTIX GLUCOSE KETONE TEST STRIP	DIAGNOSTICS,OTHER
METYRAPONE	DIAGNOSTICS,OTHER
NITRAZINE (pH) TEST STRIP	DIAGNOSTICS,OTHER
PROTIRELIN	DIAGNOSTICS,OTHER
SECRETIN (HUMAN)	DIAGNOSTICS,OTHER
URINE GLUCOSE MONITORING DEVICES	DIAGNOSTICS,OTHER
XYLOSE (OTC)	DIAGNOSTICS,OTHER
ALUMINUM HYDROXIDE	ALUMINUM CONTAINING ANTACIDS
ALUMINUM HYDROXIDE	ALUMINUM CONTAINING ANTACIDS
SODIUM BICARBONATE (OTC)	SODIUM BICARBONATE CONTAINING ANTACIDS
ALGINIC AC/NA BICARB/CA STEAR/MG TRI (OTC)	ANTACIDS,OTHER
ALOH/MG CARB/NA ALGINATE (OTC)	ANTACIDS,OTHER
ALOH/MGOH/SIMTH (OTC)	ANTACIDS,OTHER
CALCIUM POLYCARBOPHIL	BULK-FORMING LAXATIVES
CELLULOSE,OXIDIZED	BULK-FORMING LAXATIVES
PSYLLIUM  (OTC)	BULK-FORMING LAXATIVES
PSYLLIUM (SF) (OTC)	BULK-FORMING LAXATIVES
LACTULOSE	HYPEROSMOTIC LAXATIVES
MAGNESIUM CITRATE (OTC)	HYPEROSMOTIC LAXATIVES
MAGNESIUM HYDROXIDE  (OTC)	HYPEROSMOTIC LAXATIVES
POLYETHYLENE GLYCOL 3350 (PEG-3350)	HYPEROSMOTIC LAXATIVES
POLYETHYLENE GLYCOL 3350 (PEG-3350)/ELECTROLYTES	HYPEROSMOTIC LAXATIVES
SODIUM PHOSPHATE (EQV OSMOPREP)	HYPEROSMOTIC LAXATIVES
MINERAL OIL,HEAVY 100%  (OTC)	LUBRICANT LAXATIVES
BISACODYL (OTC)	STIMULANT LAXATIVES
CASTOR OIL	STIMULANT LAXATIVES
DOCUSATE/SENNOSIDES	STIMULANT LAXATIVES
SENNOSIDES (OTC)	STIMULANT LAXATIVES
DOCUSATE (OTC)	STOOL SOFTENER
DOCUSATE (OTC)	CARBON DIOXIDE-RELEASING LAXATIVES
ATROPINE SO4 /DIPHENOXYLATE HCL ORAL	ANTIDIARRHEAL AGENTS
BISMUTH SUBSALICYLATE	ANTIDIARRHEAL AGENTS
BISMUTH SUBSALICYLATE	ANTIDIARRHEAL AGENTS
LACTOBACILLUS  (OTC)	ANTIDIARRHEAL AGENTS
LACTOBACILLUS  (OTC)	ANTIDIARRHEAL AGENTS
LOPERAMIDE HCL	ANTIDIARRHEAL AGENTS
LOPERAMIDE HCL	ANTIDIARRHEAL AGENTS
OCTREOTIDE ACETATE	ANTIDIARRHEAL AGENTS
OCTREOTIDE ACETATE	ANTIDIARRHEAL AGENTS
FAMOTIDINE	HISTAMINE ANTAGONISTS
